ref,monthly,year,month,date,locality,ml,wgt,sex,mat,prey,rostral,length,SL,TL,DML
17,17,1995,11,11/10/95,Guaymas,78,,F,3,Pterygioteuthis,,0.5,,,22.78
17,17,1995,11,11/10/95,Guaymas,78,,F,3,Pterygioteuthis,,0.5,,,22.78
17,17,1995,11,11/10/95,Guaymas,78,,F,3,Pterygioteuthis,,0.5,,,22.78
17,17,1995,11,11/10/95,Guaymas,78,,F,3,Pterygioteuthis,,0.5,,,22.78
17,17,1995,11,11/10/95,Guaymas,78,,F,3,Pterygioteuthis,,0.5,,,22.78
17,17,1995,11,11/10/95,Guaymas,78,,F,3,Pterygioteuthis,,0.5,,,22.78
17,17,1995,11,11/10/95,Guaymas,78,,F,3,Pterygioteuthis,,0.5,,,22.78
17,17,1995,11,11/10/95,Guaymas,78,,F,3,Pterygioteuthis,,0.5,,,22.78
17,17,1995,11,11/10/95,Guaymas,78,,F,3,Pterygioteuthis,,0.6,,,26.096
17,17,1995,11,11/10/95,Guaymas,78,,F,3,Pterygioteuthis,,0.6,,,26.096
17,17,1995,11,11/10/95,Guaymas,78,,F,3,Pterygioteuthis,,0.4,,,19.464
17,17,1995,11,11/10/95,Guaymas,78,,F,3,Pterygioteuthis,,0.4,,,19.464
17,17,1995,11,11/10/95,Guaymas,78,,F,3,Pterygioteuthis,,0.4,,,19.464
17,17,1995,11,11/10/95,Guaymas,78,,F,3,Pterygioteuthis,,0.4,,,19.464
18,2A,1998,5,5/10/98,TORTUGA,17.5,135.3,F,1,Benthosema,,1.9,35.601,44.19446,
20,2,1999,5,5/1/99,LORETO,23.6,279.4,F,2,Triphoturus,,1.3,51.1231,66.30674,
20,2,1999,5,5/1/99,LORETO,23.6,279.4,F,2,Triphoturus,,1.1,45.4187,58.41838,
27,27,1995,11,11/10/95,Guaymas,65.6,,F,,Pterygioteuthis,,0.6,,,26.096
27,27,1995,11,11/10/95,Guaymas,65.6,,F,,Pterygioteuthis,,0.5,,,22.78
27,27,1995,11,11/10/95,Guaymas,65.6,,F,,Pterygioteuthis,,0.6,,,26.096
27,27,1995,11,11/10/95,Guaymas,65.6,,F,,Pterygioteuthis,,0.5,,,22.78
27,27,1995,11,11/10/95,Guaymas,65.6,,F,,Pterygioteuthis,,0.6,,,26.096
27,27,1995,11,11/10/95,Guaymas,65.6,,F,,Pterygioteuthis,,0.4,,,19.464
27,27,1995,11,11/10/95,Guaymas,65.6,,F,,Pterygioteuthis,,0.5,,,22.78
27,27,1995,11,11/10/95,Guaymas,65.6,,F,,Pterygioteuthis,,0.6,,,26.096
27,27,1995,11,11/10/95,Guaymas,65.6,,F,,Pterygioteuthis,,0.5,,,22.78
27,27,1995,11,11/10/95,Guaymas,65.6,,F,,Pterygioteuthis,,0.5,,,22.78
27,27,1995,11,11/10/95,Guaymas,65.6,,F,,Pterygioteuthis,,0.5,,,22.78
27,27,1995,11,11/10/95,Guaymas,65.6,,F,,Pterygioteuthis,,0.5,,,22.78
27,27,1995,11,11/10/95,Guaymas,65.6,,F,,Pterygioteuthis,,0.5,,,22.78
27,27,1995,11,11/10/95,Guaymas,65.6,,F,,Pterygioteuthis,,0.5,,,22.78
28,10,1999,5,5/1/99,LORETO,25.2,318.7,F,2,Triphoturus,,1.1,45.4187,58.41838,
28,10,1999,5,5/1/99,LORETO,25.2,318.7,F,2,Triphoturus,,1,42.5665,54.4742,
28,10,1999,5,5/1/99,LORETO,25.2,318.7,F,2,Triphoturus,,1.2,48.2709,62.36256,
28,10,1999,5,5/1/99,LORETO,25.2,318.7,F,2,Triphoturus,,1.1,45.4187,58.41838,
28,10,1999,5,5/1/99,LORETO,25.2,318.7,F,2,Triphoturus,,1,42.5665,54.4742,
29,11,1999,5,5/1/99,LORETO,21.7,206.4,F,2,Benthosema,,2.1,39.388,49.19674,
29,,1999,5,5/1/99,LORETO,21.7,206.4,F,2,Pterygioteuthis,,0.3,,,16.148
29,,1999,5,5/1/99,LORETO,21.7,206.4,F,2,Pterygioteuthis,,0.3,,,16.148
29,11,1999,5,5/1/99,LORETO,21.7,206.4,F,2,Triphoturus,,0.8,36.8621,46.58584,
29,11,1999,5,5/1/99,LORETO,21.7,206.4,F,2,Triphoturus,,0.8,36.8621,46.58584,
29,11,1999,5,5/1/99,LORETO,21.7,206.4,F,2,Triphoturus,,1.1,45.4187,58.41838,
30,30,1995,11,11/10/95,Guaymas,62.2,,M,5,Pterygioteuthis,,0.5,,,22.78
30,12,1999,5,5/1/99,LORETO,25.9,397.1,F,3-Jan,Triphoturus,,1,42.5665,54.4742,
30,12,1999,5,5/1/99,LORETO,25.9,397.1,F,3,Triphoturus,,0.8,36.8621,46.58584,
30,12,1999,5,5/1/99,LORETO,25.9,397.1,F,3,Triphoturus,,1.1,45.4187,58.41838,
30,12,1999,5,5/1/99,LORETO,25.9,397.1,F,3,Triphoturus,,1.2,48.2709,62.36256,
32,14,1999,5,5/1/99,LORETO,23,245.9,F,2,Triphoturus,,1,42.5665,54.4742,
34,17,1999,5,5/1/99,LORETO,26.3,392.2,F,3-Jan,Triphoturus,,1.1,45.4187,58.41838,
34,17,1999,5,5/1/99,LORETO,26.3,392.2,F,3,Triphoturus,,1,42.5665,54.4742,
34,17,1999,5,5/1/99,LORETO,26.3,392.2,F,3,Triphoturus,,1.2,48.2709,62.36256,
34,17,1999,5,5/1/99,LORETO,26.3,392.2,F,3,Triphoturus,,1.1,45.4187,58.41838,
34,17,1999,5,5/1/99,LORETO,26.3,392.2,F,3,Triphoturus,,1.1,45.4187,58.41838,
34,17,1999,5,5/1/99,LORETO,26.3,392.2,F,3,Triphoturus,,1.1,45.4187,58.41838,
34,17,1999,5,5/1/99,LORETO,26.3,392.2,F,3,Triphoturus,,1.1,45.4187,58.41838,
34,17,1999,5,5/1/99,LORETO,26.3,392.2,F,3,Triphoturus,,1,42.5665,54.4742,
34,17,1999,5,5/1/99,LORETO,26.3,392.2,F,3,Triphoturus,,1,42.5665,54.4742,
34,17,1999,5,5/1/99,LORETO,26.3,392.2,F,3,Triphoturus,,1.2,48.2709,62.36256,
39,22,1999,5,5/1/99,LORETO,21.5,236.3,M,3,Triphoturus,,0.8,36.8621,46.58584,
39,22,1999,5,5/1/99,LORETO,21.5,236.3,M,3,Triphoturus,,0.9,39.7143,50.53002,
39,22,1999,5,5/1/99,LORETO,21.5,236.3,M,3,Triphoturus,,1.1,45.4187,58.41838,
40,8,1995,11,11/23/95,Guaymas,64,7.65,M,5,Pterygioteuthis,,0.4,,,19.464
40,,1999,5,5/1/99,LORETO,23,225.1,M,3,Pterygioteuthis,URL,0.2,,,13.096
40,,1999,5,5/1/99,LORETO,23,225.1,M,3,Pterygioteuthis,URL,0.3,,,15.994
41,,1999,5,5/22/99,TOPOLOBAMPO,31.4,570.9,F,4,Pterygioteuthis,,0.45,,,21.122
42,2,1999,5,5/22/99,TOPOLOBAMPO,29.2,742.4,F,5,Benthosema,,2.2,41.2815,51.69788,
42,2,1999,5,5/22/99,TOPOLOBAMPO,29.2,742.4,F,5,Benthosema,,2.1,39.388,49.19674,
42,2,1999,5,5/22/99,TOPOLOBAMPO,29.2,742.4,F,5,Benthosema,,2.1,39.388,49.19674,
42,2,1999,5,5/22/99,TOPOLOBAMPO,29.2,742.4,F,5,Benthosema,,2,37.4945,46.6956,
43,3,1999,5,5/22/99,TOPOLOBAMPO,28.6,528.9,F,2,Triphoturus,,0.85,38.2882,48.55793,
44,4,1999,5,5/22/99,TOPOLOBAMPO,28.4,453.6,F,5,Triphoturus,,0.95,41.1404,52.50211,
46,2,1999,5,5/22/99,TOPOLOBAMPO,29.9,865.7,F,5,Triphoturus,,0.85,38.2882,48.55793,
47,3,1999,5,5/22/99,TOPOLOBAMPO,29.9,746.7,F,5,Triphoturus,,1,42.5665,54.4742,
50,6,1999,5,5/22/99,TOPOLOBAMPO,35.1,1134.7,F,4,Triphoturus,,1.1,45.4187,58.41838,
51,,1999,5,5/22/99,TOPOLOBAMPO,33.5,815.7,F,4,Pterygioteuthis,,0.45,,,21.122
51,7,1999,5,5/22/99,TOPOLOBAMPO,33.5,815.7,F,4,Triphoturus,,0.95,41.1404,52.50211,
51,7,1999,5,5/22/99,TOPOLOBAMPO,33.5,815.7,F,4,Triphoturus,,1.05,43.9926,56.44629,
53,,1999,5,5/22/99,TOPOLOBAMPO,32.3,712.2,M,4,Pterygioteuthis,,0.2,,,12.832
53,9,1999,5,5/22/99,TOPOLOBAMPO,32.3,712.2,M,4,Triphoturus,,1.05,43.9926,56.44629,
55,2,1999,5,5/22/99,TOPOLOBAMPO,23.8,299.4,F,5,Benthosema,,1.4,26.1335,31.68876,
58,5,1999,5,5/22/99,TOPOLOBAMPO,27.2,491.9,F,5,Triphoturus,,1,42.5665,54.4742,
59,,1999,5,5/22/99,TOPOLOBAMPO,28,447.2,F,5,Pterygioteuthis,,0.45,,,21.122
59,6,1999,5,5/22/99,TOPOLOBAMPO,28,447.2,F,5,Triphoturus,,0.7,34.0099,42.64166,
60,7,1999,5,5/22/99,TOPOLOBAMPO,33.1,797.6,M,5,Benthosema,,2.2,41.2815,51.69788,
60,7,1999,5,5/22/99,TOPOLOBAMPO,33.1,797.6,M,5,Benthosema,,2,37.4945,46.6956,
60,7,1999,5,5/22/99,TOPOLOBAMPO,33.1,797.6,M,5,Benthosema,,2.3,43.175,54.19902,
60,7,1999,5,5/22/99,TOPOLOBAMPO,33.1,797.6,M,5,Benthosema,,2.1,39.388,49.19674,
60,7,1999,5,5/22/99,TOPOLOBAMPO,33.1,797.6,M,5,Benthosema,,2.45,46.01525,57.95073,
60,7,1999,5,5/22/99,TOPOLOBAMPO,33.1,797.6,M,5,Benthosema,,2.15,40.33475,50.44731,
60,7,1999,5,5/22/99,TOPOLOBAMPO,33.1,797.6,M,5,Benthosema,,2.05,38.44125,47.94617,
60,7,1999,5,5/22/99,TOPOLOBAMPO,33.1,797.6,M,5,Benthosema,,1.95,36.54775,45.44503,
60,7,1999,5,5/22/99,TOPOLOBAMPO,33.1,797.6,M,5,Benthosema,,2.2,41.2815,51.69788,
60,7,1999,5,5/22/99,TOPOLOBAMPO,33.1,797.6,M,5,Benthosema,,2.2,41.2815,51.69788,
60,7,1999,5,5/22/99,TOPOLOBAMPO,33.1,797.6,M,5,Benthosema,,2,37.4945,46.6956,
60,7,1999,5,5/22/99,TOPOLOBAMPO,33.1,797.6,M,5,Benthosema,,2.1,39.388,49.19674,
60,7,1999,5,5/22/99,TOPOLOBAMPO,33.1,797.6,M,5,Triphoturus,,1.1,45.4187,58.41838,
63,10,1999,5,5/24/99,VOLCAN MARIAS,35.5,,F,3,Benthosema,,1.8,33.7075,41.69332,
63,10,1999,5,5/24/99,VOLCAN MARIAS,35.5,,F,3,Benthosema,,2,37.4945,46.6956,
65,,1999,5,5/22/99,TOPOLOBAMPO,31.4,661,M,5,Pterygioteuthis,,0.45,,,21.122
67,14,1999,5,5/22/99,TOPOLOBAMPO,31.4,768,M,5,Benthosema,,2.25,42.22825,52.94845,
71,2,1999,5,5/23/99,SAN BRUNO,26.7,406.6,F,2,Triphoturus,,0.466666667,27.35476668,33.43857335,
74,1,1999,5,5/23/99,STA ROSALIA,23.8,294.7,F,2,Benthosema,,2.1,39.388,49.19674,
74,1,1999,5,5/23/99,STA ROSALIA,23.8,294.7,F,2,Benthosema,,1.8,33.7075,41.69332,
74,1,1999,5,5/23/99,STA ROSALIA,23.8,294.7,F,2,Benthosema,,2.3,43.175,54.19902,
74,1,1999,5,5/23/99,STA ROSALIA,23.8,294.7,F,2,Benthosema,,2,37.4945,46.6956,
74,1,1999,5,5/23/99,STA ROSALIA,23.8,294.7,F,2,Benthosema,,2.2,41.2815,51.69788,
74,1,1999,5,5/23/99,STA ROSALIA,23.8,294.7,F,2,Benthosema,,2.1,39.388,49.19674,
74,1,1999,5,5/23/99,STA ROSALIA,23.8,294.7,F,2,Benthosema,,1.8,33.7075,41.69332,
74,1,1999,5,5/23/99,STA ROSALIA,23.8,294.7,F,2,Benthosema,,2.3,43.175,54.19902,
75,2,1999,5,5/23/99,STA ROSALIA,31.2,761.7,F,3,Triphoturus,,0.9,39.7143,50.53002,
76,3,1999,5,5/23/99,STA ROSALIA,30.2,634.5,F,3,Benthosema,,1.9,35.601,44.19446,
77,4,1999,5,5/23/99,STA ROSALIA,29.2,534.7,F,5,Benthosema,,2.1,39.388,49.19674,
77,4,1999,5,5/23/99,STA ROSALIA,29.2,534.7,F,5,Benthosema,,2,37.4945,46.6956,
77,4,1999,5,5/23/99,STA ROSALIA,29.2,534.7,F,5,Benthosema,,1.9,35.601,44.19446,
77,4,1999,5,5/23/99,STA ROSALIA,29.2,534.7,F,5,Benthosema,,1.9,35.601,44.19446,
77,4,1999,5,5/23/99,STA ROSALIA,29.2,534.7,F,5,Benthosema,,1.75,32.76075,40.44275,
77,4,1999,5,5/23/99,STA ROSALIA,29.2,534.7,F,5,Benthosema,,2,37.4945,46.6956,
79,,,,,,26.2,,M,3,Benthosema,,1.9,35.601,44.19446,
79,,,,,,26.2,,M,3,Benthosema,,2.1,39.388,49.19674,
79,,,,,,26.2,,M,3,Benthosema,,2.1,39.388,49.19674,
79,,,,,,26.2,,M,3,Benthosema,,2.1,39.388,49.19674,
80,,1999,5,5/23/99,STA ROSALIA,26.5,,M,4,Triphoturus,,0.7,34.0099,42.64166,
81,49,1995,11,11/29/95,Guaymas,69.2,,M,5,Pterygioteuthis,,0.6,,,26.096
82,,,,,,25,,M,5,Benthosema,,2,37.4945,46.6956,
83,,,,,,24.5,,F,2,Benthosema,,2.1,39.388,49.19674,
83,,,,,,24.5,,F,2,Benthosema,,1.8,33.7075,41.69332,
83,,,,,,24.5,,F,2,Benthosema,,2.2,41.2815,51.69788,
83,,,,,,24.5,,F,2,Benthosema,,1.9,35.601,44.19446,
85,,,,,,27,,M,2,Benthosema,,2.2,41.2815,51.69788,
86,,1999,5,5/23/99,STA ROSALIA,27.2,,F,2,Pterygioteuthis,,0.4,,,19.464
86,,1999,5,5/23/99,STA ROSALIA,27.2,,F,2,Pterygioteuthis,,0.5,,,22.78
86,,1999,5,5/23/99,STA ROSALIA,27.2,,F,2,Pterygioteuthis,,0.5,,,22.78
86,,,,,,27.2,,F,2,Benthosema,,1.9,35.601,44.19446,
86,,,,,,27.2,,F,2,Benthosema,,1.8,33.7075,41.69332,
86,,,,,,27.2,,F,2,Benthosema,,1.7,31.814,39.19218,
87,,1999,5,5/23/99,STA ROSALIA,28.5,,M,3,Triphoturus,,1.1,45.4187,58.41838,
89,,,,,,27.1,,F,2,Benthosema,,2.4,45.0685,56.70016,
89,,,,,,27.1,,F,2,Benthosema,,1.9,35.601,44.19446,
92,3,1999,5,5/23/99,STA ROSALIA,27.1,416.8,M,5,Triphoturus,,0.9,39.7143,50.53002,
94,5,1999,5,5/23/99,STA ROSALIA,36.1,826.8,F,3,Benthosema,,2.2,41.2815,51.69788,
94,5,1999,5,5/23/99,STA ROSALIA,36.1,826.8,F,3,Triphoturus,,0.9,39.7143,50.53002,
94,5,1999,5,5/23/99,STA ROSALIA,36.1,826.8,F,3,Triphoturus,,0.9,39.7143,50.53002,
94,5,1999,5,5/23/99,STA ROSALIA,36.1,826.8,F,3,Triphoturus,,0.9,39.7143,50.53002,
94,5,1999,5,5/23/99,STA ROSALIA,36.1,826.8,F,3,Triphoturus,,0.75,35.436,44.61375,
94,5,1999,5,5/25/99,VOLCAN MARIAS,35,,F,3,Benthosema,,2.1,39.388,49.19674,
94,5,1999,5,5/25/99,VOLCAN MARIAS,35,,F,3,Benthosema,,2.1,39.388,49.19674,
94,5,1999,5,5/25/99,VOLCAN MARIAS,35,,F,3,Benthosema,,2.2,41.2815,51.69788,
95,6,1999,5,5/23/99,STA ROSALIA,32,806.8,F,2,Benthosema,,1.8,33.7075,41.69332,
95,6,1999,5,5/23/99,STA ROSALIA,32,806.8,F,2,Benthosema,,1.8,33.7075,41.69332,
95,6,1999,5,5/23/99,STA ROSALIA,32,806.8,F,2,Benthosema,,1.85,34.65425,42.94389,
95,6,1999,5,5/23/99,STA ROSALIA,32,806.8,F,2,Benthosema,,1.9,35.601,44.19446,
95,6,1999,5,5/23/99,STA ROSALIA,32,806.8,F,2,Benthosema,,1.9,35.601,44.19446,
95,6,1999,5,5/23/99,STA ROSALIA,32,806.8,F,2,Benthosema,,2.1,39.388,49.19674,
95,6,1999,5,5/23/99,STA ROSALIA,32,806.8,F,2,Triphoturus,,0.8,36.8621,46.58584,
97,8,1999,5,5/23/99,STA ROSALIA,24.7,1100,F,5,Benthosema,,1.8,33.7075,41.69332,
98,9,1999,5,5/23/99,STA ROSALIA,25.9,366.8,M,3,Benthosema,,1.65,30.86725,37.94161,
98,9,1999,5,5/23/99,STA ROSALIA,25.9,366.8,M,3,Benthosema,,1.9,35.601,44.19446,
98,9,1999,5,5/23/99,STA ROSALIA,25.9,366.8,M,3,Benthosema,,1.8,33.7075,41.69332,
98,9,1999,5,5/23/99,STA ROSALIA,25.9,366.8,M,3,Benthosema,,2.05,38.44125,47.94617,
98,9,1999,5,5/23/99,STA ROSALIA,25.9,366.8,M,3,Benthosema,,1.95,36.54775,45.44503,
98,9,1999,5,5/23/99,STA ROSALIA,25.9,366.8,M,3,Triphoturus,,0.85,38.2882,48.55793,
100,11,1999,5,5/23/99,STA ROSALIA,32.7,796.3,M,5,Benthosema,,2.1,39.388,49.19674,
100,11,1999,5,5/23/99,STA ROSALIA,32.7,796.3,M,5,Benthosema,,2.1,39.388,49.19674,
100,11,1999,5,5/23/99,STA ROSALIA,32.7,796.3,M,5,Triphoturus,,1.05,43.9926,56.44629,
101,s/n,,,,,33.5,,F,2,Benthosema,,1.9,35.601,44.19446,
101,s/n,,,,,33.5,,F,2,Benthosema,,1.8,33.7075,41.69332,
101,s/n,,,,,33.5,,F,2,Benthosema,,1.65,30.86725,37.94161,
102,s/n,1999,5,5/23/99,STA ROSALIA,30.6,,F,2,Triphoturus,,0.5,28.3055,34.7533,
102,s/n,,,,,30.6,,F,2,Benthosema,,2.1,39.388,49.19674,
104,7,1996,2,2/1/96,Guaymas,68,9.325,M,5,Pterygioteuthis,,0.6,,,26.096
104,7,1996,2,2/1/96,Guaymas,68,9.325,M,5,Pterygioteuthis,,0.6,,,26.096
104,7,1996,2,2/1/96,Guaymas,68,9.325,M,5,Pterygioteuthis,,0.6,,,26.096
104,7,1996,2,2/1/96,Guaymas,68,9.325,M,5,Pterygioteuthis,,0.6,,,26.096
104,7,1996,2,2/1/96,Guaymas,68,9.325,M,5,Pterygioteuthis,,0.2,,,12.832
106,2,1996,2,2/2/96,Guaymas,66.9,7.65,M,5,Pterygioteuthis,,0.4,,,19.464
106,3,1999,5,5/24/99,VOLCAN MARIAS,26.4,372,M,3,Benthosema,,2.2,41.2815,51.69788,
106,3,1999,5,5/24/99,VOLCAN MARIAS,26.4,372,M,3,Benthosema,,2,37.4945,46.6956,
106,3,1999,5,5/24/99,VOLCAN MARIAS,26.4,372,M,3,Benthosema,,1.8,33.7075,41.69332,
107,,1999,5,5/24/99,VOLCAN MARIAS,31.8,798,F,2,Pterygioteuthis,,0.4,,,19.464
108,5,1999,5,5/24/99,VOLCAN MARIAS,32.8,840,M,5,Benthosema,,1.9,35.601,44.19446,
108,5,1999,5,5/24/99,VOLCAN MARIAS,32.8,840,M,5,Benthosema,,2.2,41.2815,51.69788,
108,5,1999,5,5/24/99,VOLCAN MARIAS,32.8,840,M,5,Benthosema,,2.2,41.2815,51.69788,
108,5,1999,5,5/24/99,VOLCAN MARIAS,32.8,840,M,5,Benthosema,,1.7,31.814,39.19218,
108,5,1999,5,5/24/99,VOLCAN MARIAS,32.8,840,M,5,Benthosema,,1.9,35.601,44.19446,
108,5,1999,5,5/24/99,VOLCAN MARIAS,32.8,840,M,5,Benthosema,,1.9,35.601,44.19446,
108,5,1999,5,5/24/99,VOLCAN MARIAS,32.8,840,M,5,Benthosema,,1.9,35.601,44.19446,
108,5,1999,5,5/24/99,VOLCAN MARIAS,32.8,840,M,5,Benthosema,,1.9,35.601,44.19446,
108,,1999,5,5/24/99,VOLCAN MARIAS,32.8,840,M,5,Pterygioteuthis,URL,0.35,,,17.443
110,6,1996,2,2/2/96,Guaymas,63,6.04,M,5,Pterygioteuthis,,0.5,,,22.78
110,,1999,5,5/24/99,VOLCAN MARIAS,32.6,835,F,5,Pterygioteuthis,URL,0.3,,,15.994
110,,1999,5,5/24/99,VOLCAN MARIAS,32.6,835,F,5,Pterygioteuthis,URL,0.3,,,15.994
110,7,1999,5,5/24/99,VOLCAN MARIAS,32.6,835,F,5,Triphoturus,,0.7,34.0099,42.64166,
111,7,1996,2,2/2/96,Guaymas,70.5,12.755,M,5,Pterygioteuthis,,0.6,,,26.096
111,s/n,1999,5,5/24/99,VOLCAN MARIAS,31.6,,F,2,Benthosema,,1.9,35.601,44.19446,
111,s/n,1999,5,5/24/99,VOLCAN MARIAS,31.6,,F,2,Benthosema,,2.05,38.44125,47.94617,
111,s/n,1999,5,5/24/99,VOLCAN MARIAS,31.6,,F,2,Benthosema,,2.1,39.388,49.19674,
111,s/n,1999,5,5/24/99,VOLCAN MARIAS,31.6,,F,2,Benthosema,,2,37.4945,46.6956,
111,s/n,1999,5,5/24/99,VOLCAN MARIAS,31.6,,F,2,Benthosema,,1.6,29.9205,36.69104,
