"TripSetPredNo","TripSetNo","Lat","Lon","Month","Year","Sex","Mat","Length","Date","SST","Group","PropN","PredSpp"
"Dg1996_059","961016",27.34568,-112.25734,"10",1996,"F","7",76.6,1996-10-16,NA,"C_Pterygioteuthis",0.333333333333333,"Dgigas"
"Dg1996_059","961016",27.34568,-112.25734,"10",1996,"F","7",76.6,1996-10-16,NA,"F_Benthosema",0.666666666666667,"Dgigas"
"Dg1996_060","961016",27.34568,-112.25734,"10",1996,"F","6",71.5,1996-10-16,NA,"F_Diogenichthys",1,"Dgigas"
"Dg2006_023","060706",27.34568,-112.25734,"7",2006,"M","7",56,2006-07-06,30,"F_UnID",1,"Dgigas"
"Dg2006_024","060706",27.34568,-112.25734,"7",2006,"F","3",54,2006-07-06,30,"R_Crust",1,"Dgigas"
"Dg2006_027","060706",27.34568,-112.25734,"7",2006,"M","7",65,2006-07-06,30,"F_UnID_.Myctophidae",1,"Dgigas"
"Dg2006_028","060707",27.34568,-112.25734,"7",2006,"F","3",56,2006-07-07,30,"C_Pterygioteuthis",0.4,"Dgigas"
"Dg2006_028","060707",27.34568,-112.25734,"7",2006,"F","3",56,2006-07-07,30,"C_UnID",0.4,"Dgigas"
"Dg2006_028","060707",27.34568,-112.25734,"7",2006,"F","3",56,2006-07-07,30,"F_Engraulis",0.2,"Dgigas"
"Dg2006_030","060707",27.34568,-112.25734,"7",2006,"F","3",59,2006-07-07,30,"C_Pterygioteuthis",0.75,"Dgigas"
"Dg2006_030","060707",27.34568,-112.25734,"7",2006,"F","3",59,2006-07-07,30,"F_UnID_.Myctophidae",0.25,"Dgigas"
"Dg2006_031","060707",27.34568,-112.25734,"7",2006,"M","7",72,2006-07-07,30,"F_UnID",0.5,"Dgigas"
"Dg2006_031","060707",27.34568,-112.25734,"7",2006,"M","7",72,2006-07-07,30,"R_Crust",0.5,"Dgigas"
"Dg2006_033","060708",27.34568,-112.25734,"7",2006,"F","4",65,2006-07-08,30,"F_Benthosema",1,"Dgigas"
"Dg2006_034","060708",27.34568,-112.25734,"7",2006,"F","3",63,2006-07-08,30,"F_Vinciguerria",1,"Dgigas"
"Dg2006_035","060708",27.34568,-112.25734,"7",2006,"M","7",60,2006-07-08,30,"R_Crust",1,"Dgigas"
"Dg2006_036","060708",27.34568,-112.25734,"7",2006,"M","7",57,2006-07-08,30,"F_UnID",1,"Dgigas"
"Dg2006_037","060708",27.34568,-112.25734,"7",2006,"F","4",67,2006-07-08,30,"F_Benthosema",0.5,"Dgigas"
"Dg2006_037","060708",27.34568,-112.25734,"7",2006,"F","4",67,2006-07-08,30,"C_UnID",0.5,"Dgigas"
"Dg2006_039","060708",27.34568,-112.25734,"7",2006,"F","3",49,2006-07-08,30,"F_UnID",0.5,"Dgigas"
"Dg2006_039","060708",27.34568,-112.25734,"7",2006,"F","3",49,2006-07-08,30,"C_UnID",0.5,"Dgigas"
"Dg2006_040","060710",27.34568,-112.25734,"7",2006,"F","7",69,2006-07-10,30,"R_Crust",1,"Dgigas"
"Dg2006_041","060711",27.34568,-112.25734,"7",2006,"F","3",60,2006-07-11,30,"C_Gonatus",1,"Dgigas"
"Dg2006_042","060711",27.34568,-112.25734,"7",2006,"F","3",61,2006-07-11,30,"F_UnID_.Myctophidae",1,"Dgigas"
"Dg2006_045","060714",27.34568,-112.25734,"7",2006,"F","4",58,2006-07-14,28,"F_Engraulis",0.0357142857142857,"Dgigas"
"Dg2006_045","060714",27.34568,-112.25734,"7",2006,"F","4",58,2006-07-14,28,"F_Triphoturus",0.0357142857142857,"Dgigas"
"Dg2006_045","060714",27.34568,-112.25734,"7",2006,"F","4",58,2006-07-14,28,"C_Pterygioteuthis",0.785714285714286,"Dgigas"
"Dg2006_045","060714",27.34568,-112.25734,"7",2006,"F","4",58,2006-07-14,28,"C_UnID",0.107142857142857,"Dgigas"
"Dg2006_045","060714",27.34568,-112.25734,"7",2006,"F","4",58,2006-07-14,28,"C_Gonatus",0.0357142857142857,"Dgigas"
"Dg2006_046","060714",27.34568,-112.25734,"7",2006,"M","7",53,2006-07-14,28,"F_UnID_.Myctophidae",1,"Dgigas"
"Dg2006_047","060714",27.34568,-112.25734,"7",2006,"M","7",62,2006-07-14,28,"F_Triphoturus",0.2,"Dgigas"
"Dg2006_047","060714",27.34568,-112.25734,"7",2006,"M","7",62,2006-07-14,28,"F_UnID",0.2,"Dgigas"
"Dg2006_047","060714",27.34568,-112.25734,"7",2006,"M","7",62,2006-07-14,28,"F_Benthosema",0.2,"Dgigas"
"Dg2006_047","060714",27.34568,-112.25734,"7",2006,"M","7",62,2006-07-14,28,"C_Pterygioteuthis",0.2,"Dgigas"
"Dg2006_047","060714",27.34568,-112.25734,"7",2006,"M","7",62,2006-07-14,28,"C_Gonatus",0.2,"Dgigas"
"Dg2006_048","060714",27.34568,-112.25734,"7",2006,"F","3",35,2006-07-14,28,"C_UnID",0.333333333333333,"Dgigas"
"Dg2006_048","060714",27.34568,-112.25734,"7",2006,"F","3",35,2006-07-14,28,"F_UnID_.Myctophidae",0.333333333333333,"Dgigas"
"Dg2006_048","060714",27.34568,-112.25734,"7",2006,"F","3",35,2006-07-14,28,"F_Triphoturus",0.333333333333333,"Dgigas"
"Dg2006_049","060717",28.382716,-112.287204,"7",2006,"F","3",55,2006-07-17,32,"C_Pterygioteuthis",1,"Dgigas"
"Dg2006_051","060717",28.382716,-112.287204,"7",2006,"M","7",58,2006-07-17,32,"R_Crust",0.25,"Dgigas"
"Dg2006_051","060717",28.382716,-112.287204,"7",2006,"M","7",58,2006-07-17,32,"C_Pterygioteuthis",0.75,"Dgigas"
"Dg2006_053","060717",28.382716,-112.287204,"7",2006,"F","4",62,2006-07-17,32,"F_Benthosema",1,"Dgigas"
"Dg2006_054","060717",28.382716,-112.287204,"7",2006,"","1",NA,2006-07-17,32,"C_Abraliopsis",1,"Dgigas"
"Dg2006_055","060717",28.382716,-112.287204,"7",2006,"","1",NA,2006-07-17,32,"F_UnID",1,"Dgigas"
"Dg2006_056","060717",28.382716,-112.287204,"7",2006,"F","7",66,2006-07-17,32,"R_Crust",1,"Dgigas"
"Dg2006_060","060718",28.382716,-112.287204,"7",2006,"F","4",60,2006-07-18,32,"F_Other",1,"Dgigas"
"Dg2006_061","060718",28.382716,-112.287204,"7",2006,"F","3",44,2006-07-18,32,"F_Diogenichthys",0.0454545454545455,"Dgigas"
"Dg2006_061","060718",28.382716,-112.287204,"7",2006,"F","3",44,2006-07-18,32,"F_Benthosema",0.409090909090909,"Dgigas"
"Dg2006_061","060718",28.382716,-112.287204,"7",2006,"F","3",44,2006-07-18,32,"R_Crust",0.0454545454545455,"Dgigas"
"Dg2006_061","060718",28.382716,-112.287204,"7",2006,"F","3",44,2006-07-18,32,"F_Triphoturus",0.5,"Dgigas"
"Dg2006_062","060718",28.382716,-112.287204,"7",2006,"F","3",59,2006-07-18,32,"F_Triphoturus",1,"Dgigas"
"Dg2006_064","060718",28.382716,-112.287204,"7",2006,"F","3",58,2006-07-18,32,"F_Engraulis",1,"Dgigas"
"Dg2006_065","060718",28.382716,-112.287204,"7",2006,"F","3",60,2006-07-18,32,"R_Crust",1,"Dgigas"
"Dg2006_066","060718",28.382716,-112.287204,"7",2006,"M","7",50,2006-07-18,32,"F_UnID_.Myctophidae",1,"Dgigas"
"Dg2006_068","060718",28.382716,-112.287204,"7",2006,"","1",NA,2006-07-18,32,"C_Pterygioteuthis",0.5,"Dgigas"
"Dg2006_068","060718",28.382716,-112.287204,"7",2006,"","1",NA,2006-07-18,32,"F_UnID",0.5,"Dgigas"
"Dg2006_069","060718",28.382716,-112.287204,"7",2006,"","1",NA,2006-07-18,32,"F_Benthosema",1,"Dgigas"
"Dg2006_070","060719",28.382716,-112.287204,"7",2006,"F","3",58,2006-07-19,32,"C_UnID",0.5,"Dgigas"
"Dg2006_070","060719",28.382716,-112.287204,"7",2006,"F","3",58,2006-07-19,32,"R_Crust",0.5,"Dgigas"
"Dg2006_073","060719",28.382716,-112.287204,"7",2006,"F","3",59,2006-07-19,32,"F_Benthosema",1,"Dgigas"
"Dg2006_074","060719",28.382716,-112.287204,"7",2006,"F","7",73,2006-07-19,32,"F_Triphoturus",0.5,"Dgigas"
"Dg2006_074","060719",28.382716,-112.287204,"7",2006,"F","7",73,2006-07-19,32,"C_Gonatus",0.5,"Dgigas"
"Dg2006_075","060719",28.382716,-112.287204,"7",2006,"M","7",62,2006-07-19,32,"F_Benthosema",1,"Dgigas"
"Dg2006_076","060719",28.382716,-112.287204,"7",2006,"F","3",52,2006-07-19,32,"F_UnID",1,"Dgigas"
"Dg2006_077","060719",28.382716,-112.287204,"7",2006,"F","3",53,2006-07-19,32,"F_UnID_.Myctophidae",1,"Dgigas"
"Dg2006_078","060720",28.382716,-112.287204,"7",2006,"F","3",42,2006-07-20,32,"F_Other",0.037037037037037,"Dgigas"
"Dg2006_078","060720",28.382716,-112.287204,"7",2006,"F","3",42,2006-07-20,32,"F_Benthosema",0.0740740740740741,"Dgigas"
"Dg2006_078","060720",28.382716,-112.287204,"7",2006,"F","3",42,2006-07-20,32,"C_Other",0.037037037037037,"Dgigas"
"Dg2006_078","060720",28.382716,-112.287204,"7",2006,"F","3",42,2006-07-20,32,"C_Pterygioteuthis",0.851851851851852,"Dgigas"
"Dg2006_079","060720",28.382716,-112.287204,"7",2006,"M","4",44,2006-07-20,32,"C_Pterygioteuthis",1,"Dgigas"
"Dg2006_081","060720",28.382716,-112.287204,"7",2006,"F","3",47,2006-07-20,32,"F_Engraulis",0.25,"Dgigas"
"Dg2006_081","060720",28.382716,-112.287204,"7",2006,"F","3",47,2006-07-20,32,"F_Benthosema",0.75,"Dgigas"
"Dg2006_082","060720",28.382716,-112.287204,"7",2006,"F","3",48,2006-07-20,32,"F_Benthosema",0.5,"Dgigas"
"Dg2006_082","060720",28.382716,-112.287204,"7",2006,"F","3",48,2006-07-20,32,"F_Diogenichthys",0.25,"Dgigas"
"Dg2006_082","060720",28.382716,-112.287204,"7",2006,"F","3",48,2006-07-20,32,"C_Pterygioteuthis",0.25,"Dgigas"
"Dg2006_083","060720",28.382716,-112.287204,"7",2006,"F","3",48,2006-07-20,32,"C_UnID",0.25,"Dgigas"
"Dg2006_083","060720",28.382716,-112.287204,"7",2006,"F","3",48,2006-07-20,32,"F_Benthosema",0.75,"Dgigas"
"Dg2006_084","060720",28.382716,-112.287204,"7",2006,"F","3",41,2006-07-20,32,"R_Crust",1,"Dgigas"
"Dg2006_086","060720",28.382716,-112.287204,"7",2006,"F","3",36,2006-07-20,32,"F_UnID",1,"Dgigas"
"Dg2006_087","060720",28.382716,-112.287204,"7",2006,"M","3",42,2006-07-20,32,"C_Pterygioteuthis",0.5,"Dgigas"
"Dg2006_087","060720",28.382716,-112.287204,"7",2006,"M","3",42,2006-07-20,32,"F_Benthosema",0.5,"Dgigas"
"Dg2006_088","060720",28.382716,-112.287204,"7",2006,"F","3",36,2006-07-20,32,"C_Pterygioteuthis",1,"Dgigas"
"Dg2006_089","060720",28.382716,-112.287204,"7",2006,"F","3",43,2006-07-20,32,"C_Gonatus",1,"Dgigas"
"Dg2006_092","060720",28.382716,-112.287204,"7",2006,"M","6",48,2006-07-20,32,"F_Benthosema",0.0425531914893617,"Dgigas"
"Dg2006_092","060720",28.382716,-112.287204,"7",2006,"M","6",48,2006-07-20,32,"C_Pterygioteuthis",0.957446808510638,"Dgigas"
"Dg2006_093","060720",28.382716,-112.287204,"7",2006,"F","3",62,2006-07-20,32,"F_Benthosema",0.5,"Dgigas"
"Dg2006_093","060720",28.382716,-112.287204,"7",2006,"F","3",62,2006-07-20,32,"C_UnID",0.5,"Dgigas"
"Dg2006_094","060720",28.382716,-112.287204,"7",2006,"M","7",64,2006-07-20,32,"F_UnID_.Myctophidae",1,"Dgigas"
"Dg2006_096","060721",28.382716,-112.287204,"7",2006,"F","3",50,2006-07-21,32,"R_Crust",1,"Dgigas"
"Dg2006_097","060721",28.382716,-112.287204,"7",2006,"F","3",47,2006-07-21,32,"R_Crust",1,"Dgigas"
"Dg2006_098","060721",28.382716,-112.287204,"7",2006,"F","3",25.7,2006-07-21,32,"F_Benthosema",0.5,"Dgigas"
"Dg2006_098","060721",28.382716,-112.287204,"7",2006,"F","3",25.7,2006-07-21,32,"C_Pterygioteuthis",0.5,"Dgigas"
"Dg2006_099","060721",28.382716,-112.287204,"7",2006,"F","3",46,2006-07-21,32,"C_UnID",0.25,"Dgigas"
"Dg2006_099","060721",28.382716,-112.287204,"7",2006,"F","3",46,2006-07-21,32,"C_Abraliopsis",0.25,"Dgigas"
"Dg2006_099","060721",28.382716,-112.287204,"7",2006,"F","3",46,2006-07-21,32,"C_Pterygioteuthis",0.25,"Dgigas"
"Dg2006_099","060721",28.382716,-112.287204,"7",2006,"F","3",46,2006-07-21,32,"R_Crust",0.25,"Dgigas"
"Dg2006_100","060721",28.382716,-112.287204,"7",2006,"M","7",41,2006-07-21,32,"R_Crust",0.5,"Dgigas"
"Dg2006_100","060721",28.382716,-112.287204,"7",2006,"M","7",41,2006-07-21,32,"C_Pterygioteuthis",0.5,"Dgigas"
"Dg2006_101","060721",28.382716,-112.287204,"7",2006,"F","3",51,2006-07-21,32,"F_Benthosema",0.5,"Dgigas"
