Ref,Monthly..,year,Date,Locality,ML,Weight,SEX,Mat.Stage,prey,rostral,item,length,SL,TL,ML,,,
27,27,1995,11/10/95,Guaymas,65.6,NA,H,,Pterygioteuthis,,Otolith.length5,0.6,,,26.096,,,
17,17,1995,11/10/95,Guaymas,78,NA,H,III,Pterygioteuthis,,Otolith.length5,0.5,,,22.78,,,
16,16,1995,11/10/95,Guaymas,61,NA,M,V,Pterygioteuthis,,Otolith.length6,0.4,,,19.464,,,
27,27,1995,11/10/95,Guaymas,65.6,NA,H,,Pterygioteuthis,,Otolith.length6,0.4,,,19.464,,,
17,17,1995,11/10/95,Guaymas,78,NA,H,III,Pterygioteuthis,,Otolith.length6,0.5,,,22.78,,,
16,16,1995,11/10/95,Guaymas,61,NA,M,V,Pterygioteuthis,,Otolith.length7,0.4,,,19.464,,,
27,27,1995,11/10/95,Guaymas,65.6,NA,H,,Pterygioteuthis,,Otolith.length7,0.5,,,22.78,,,
17,17,1995,11/10/95,Guaymas,78,NA,H,III,Pterygioteuthis,,Otolith.length7,0.5,,,22.78,,,
16,16,1995,11/10/95,Guaymas,61,NA,M,V,Pterygioteuthis,,Otolith.length8,0.4,,,19.464,,,
27,27,1995,11/10/95,Guaymas,65.6,NA,H,,Pterygioteuthis,,Otolith.length8,0.6,,,26.096,,,
17,17,1995,11/10/95,Guaymas,78,NA,H,III,Pterygioteuthis,,Otolith.length8,0.5,,,22.78,,,
16,16,1995,11/10/95,Guaymas,61,NA,M,V,Pterygioteuthis,,Otolith.length9,0.4,,,19.464,,,
27,27,1995,11/10/95,Guaymas,65.6,NA,H,,Pterygioteuthis,,Otolith.length9,0.5,,,22.78,,,
17,17,1995,11/10/95,Guaymas,78,NA,H,III,Pterygioteuthis,,Otolith.length9,0.5,,,22.78,,,
16,16,1995,11/10/95,Guaymas,61,NA,M,V,Pterygioteuthis,,Otolith.length10,0.4,,,19.464,,,
27,27,1995,11/10/95,Guaymas,65.6,NA,H,,Pterygioteuthis,,Otolith.length10,0.5,,,22.78,,,
17,17,1995,11/10/95,Guaymas,78,NA,H,III,Pterygioteuthis,,Otolith.length10,0.5,,,22.78,,,
16,16,1995,11/10/95,Guaymas,61,NA,M,V,Pterygioteuthis,,Otolith.length11,0.4,,,19.464,,,
27,27,1995,11/10/95,Guaymas,65.6,NA,H,,Pterygioteuthis,,Otolith.length11,0.5,,,22.78,,,
17,17,1995,11/10/95,Guaymas,78,NA,H,III,Pterygioteuthis,,Otolith.length11,0.5,,,22.78,,,
16,16,1995,11/10/95,Guaymas,61,NA,M,V,Pterygioteuthis,,Otolith.length12,0.4,,,19.464,,,
27,27,1995,11/10/95,Guaymas,65.6,NA,H,,Pterygioteuthis,,Otolith.length12,0.5,,,22.78,,,
17,17,1995,11/10/95,Guaymas,78,NA,H,III,Pterygioteuthis,,Otolith.length12,0.5,,,22.78,,,
16,16,1995,11/10/95,Guaymas,61,NA,M,V,Pterygioteuthis,,Otolith.length13,0.4,,,19.464,,,
27,27,1995,11/10/95,Guaymas,65.6,NA,H,,Pterygioteuthis,,Otolith.length13,0.5,,,22.78,,,
17,17,1995,11/10/95,Guaymas,78,NA,H,III,Pterygioteuthis,,Otolith.length13,0.5,,,22.78,,,
16,16,1995,11/10/95,Guaymas,61,NA,M,V,Pterygioteuthis,,Otolith.length14,0.4,,,19.464,,,
27,27,1995,11/10/95,Guaymas,65.6,NA,H,,Pterygioteuthis,,Otolith.length14,0.5,,,22.78,,,
17,17,1995,11/10/95,Guaymas,78,NA,H,III,Pterygioteuthis,,Otolith.length14,0.6,,,26.096,,,
16,16,1995,11/10/95,Guaymas,61,NA,M,V,Pterygioteuthis,,Otolith.length15,0.5,,,22.78,,,
17,17,1995,11/10/95,Guaymas,78,NA,H,III,Pterygioteuthis,,Otolith.length15,0.6,,,26.096,,,
16,16,1995,11/10/95,Guaymas,61,NA,M,V,Pterygioteuthis,,Otolith.length16,0.5,,,22.78,,,
17,17,1995,11/10/95,Guaymas,78,NA,H,III,Pterygioteuthis,,Otolith.length16,0.4,,,19.464,,,
16,16,1995,11/10/95,Guaymas,61,NA,M,V,Pterygioteuthis,,Otolith.length17,0.5,,,22.78,,,
17,17,1995,11/10/95,Guaymas,78,NA,H,III,Pterygioteuthis,,Otolith.length17,0.4,,,19.464,,,
16,16,1995,11/10/95,Guaymas,61,NA,M,V,Pterygioteuthis,,Otolith.length18,0.5,,,22.78,,,
17,17,1995,11/10/95,Guaymas,78,NA,H,III,Pterygioteuthis,,Otolith.length18,0.4,,,19.464,,,
16,16,1995,11/10/95,Guaymas,61,NA,M,V,Pterygioteuthis,,Otolith.length19,0.5,,,22.78,,,
17,17,1995,11/10/95,Guaymas,78,NA,H,III,Pterygioteuthis,,Otolith.length19,0.4,,,19.464,,,
16,16,1995,11/10/95,Guaymas,61,NA,M,V,Pterygioteuthis,,Otolith.length20,0.5,,,22.78,,,
16,16,1995,11/10/95,Guaymas,61,NA,M,V,Pterygioteuthis,,Otolith.length21,0.5,,,22.78,,,
16,16,1995,11/10/95,Guaymas,61,NA,M,V,Pterygioteuthis,,Otolith.length22,0.5,,,22.78,,,
16,16,1995,11/10/95,Guaymas,61,NA,M,V,Pterygioteuthis,,Otolith.length23,0.5,,,22.78,,,
16,16,1995,11/10/95,Guaymas,61,NA,M,V,Pterygioteuthis,,Otolith.length24,0.5,,,22.78,,,
16,16,1995,11/10/95,Guaymas,61,NA,M,V,Pterygioteuthis,,Otolith.length25,0.5,,,22.78,,,
16,16,1995,11/10/95,Guaymas,61,NA,M,V,Pterygioteuthis,,Otolith.length26,0.5,,,22.78,,,
16,16,1995,11/10/95,Guaymas,61,NA,M,V,Pterygioteuthis,,Otolith.length27,0.5,,,22.78,,,
16,16,1995,11/10/95,Guaymas,61,NA,M,V,Pterygioteuthis,,Otolith.length28,0.5,,,22.78,,,
16,16,1995,11/10/95,Guaymas,61,NA,M,V,Pterygioteuthis,,Otolith.length29,0.6,,,26.096,,,
16,16,1995,11/10/95,Guaymas,61,NA,M,V,Pterygioteuthis,,Otolith.length30,0.6,,,26.096,,,
16,16,1995,11/10/95,Guaymas,61,NA,M,V,Pterygioteuthis,,Otolith.length31,0.6,,,26.096,,,
16,16,1995,11/10/95,Guaymas,61,NA,M,V,Pterygioteuthis,,Otolith.length32,0.6,,,26.096,,,
40,8,1995,11/23/95,Guaymas,64,7.65,M,V,Pterygioteuthis,,Otolith.length1,0.4,,,19.464,,,
81,49,1995,11/29/95,Guaymas,69.2,NA,M,V,Pterygioteuthis,,Otolith.length1,0.6,,,26.096,,,
104,7,1996,2/1/96,Guaymas,68,9.325,M,V,Pterygioteuthis,,Otolith.length1,0.6,,,26.096,,,
104,7,1996,2/1/96,Guaymas,68,9.325,M,V,Pterygioteuthis,,Otolith.length2,0.6,,,26.096,,,
104,7,1996,2/1/96,Guaymas,68,9.325,M,V,Pterygioteuthis,,Otolith.length3,0.6,,,26.096,,,
104,7,1996,2/1/96,Guaymas,68,9.325,M,V,Pterygioteuthis,,Otolith.length4,0.6,,,26.096,,,
104,7,1996,2/1/96,Guaymas,68,9.325,M,V,Pterygioteuthis,,Otolith.length5,0.2,,,12.832,,,
110,6,1996,2/2/96,Guaymas,63,6.04,M,V,Pterygioteuthis,,Otolith.length1,0.5,,,22.78,,,
106,2,1996,2/2/96,Guaymas,66.9,7.65,M,V,Pterygioteuthis,,Otolith.length1,0.4,,,19.464,,,
111,7,1996,2/2/96,Guaymas,70.5,12.755,M,V,Pterygioteuthis,,Otolith.length1,0.6,,,26.096,,,
182,2,1996,3/5/96,Guaymas,55.4,5.5,H,II,Benthosema,,Otolith.length1,1.9,35.601,44.19446,,,,
182,2,1996,3/5/96,Guaymas,55.4,5.5,H,II,Benthosema,,Otolith.length2,1.9,35.601,44.19446,,,,
182,2,1996,3/5/96,Guaymas,55.4,5.5,H,II,Benthosema,,Otolith.length3,1.9,35.601,44.19446,,,,
182,2,1996,3/5/96,Guaymas,55.4,5.5,H,II,Benthosema,,Otolith.length4,1.9,35.601,44.19446,,,,
182,2,1996,3/5/96,Guaymas,55.4,5.5,H,II,Benthosema,,Otolith.length5,2.1,39.388,49.19674,,,,
182,2,1996,3/5/96,Guaymas,55.4,5.5,H,II,Benthosema,,Otolith.length6,2,37.4945,46.6956,,,,
205,17,1996,3/18/96,Guaymas,47.3,3,M,III,Pterygioteuthis,,Otolith.length1,0.5,,,22.78,,,
200,8,1996,3/18/96,Guaymas,49.2,3,H,II,Pterygioteuthis,,Otolith.length1,0.3,,,16.148,,,
198,6,1996,3/18/96,Guaymas,51.8,3,H,II,Pterygioteuthis,,Otolith.length1,0.7,,,29.412,,,
205,17,1996,3/18/96,Guaymas,47.3,3,M,III,Pterygioteuthis,,Otolith.length2,0.4,,,19.464,,,
198,6,1996,3/18/96,Guaymas,51.8,3,H,II,Pterygioteuthis,,Otolith.length2,0.4,,,19.464,,,
205,17,1996,3/18/96,Guaymas,47.3,3,M,III,Pterygioteuthis,,Otolith.length3,0.2,,,12.832,,,
198,6,1996,3/18/96,Guaymas,51.8,3,H,II,Pterygioteuthis,,Otolith.length3,0.4,,,19.464,,,
210,5,1996,3/27/96,Guaymas,42.2,1.175,H,II,Pterygioteuthis,,Otolith.length1,0.4,,,19.464,,,
215,10,1996,3/27/96,Guaymas,48.5,2.125,M,III,Pterygioteuthis,,Otolith.length1,0.4,,,19.464,,,
225,2,1996,3/29/96,Guaymas,48.6,3.158,M,V,Pterygioteuthis,,Otolith.length1,0.4,,,19.464,,,
227,2,1996,4/2/96,Guaymas,26.7,0.407,H,I,Pterygioteuthis,URL,Otolith.length1,0.3,,,15.994,,,
229,4,1996,4/2/96,Guaymas,34.2,0.927,H,I,Pterygioteuthis,,Otolith.length1,0.4,,,19.464,,,
227,2,1996,4/2/96,Guaymas,26.7,0.407,H,I,Pterygioteuthis,URL,Otolith.length2,0.4,,,18.892,,,
279,9,1996,5/4/96,Guaymas,33.2,0.85,M ,V,Pterygioteuthis,,Otolith.length1,0.3,,,16.148,,,
485,10,1996,6/11/96,San Pedro,26,0.375,H,I,Benthosema,,Otolith.length1,2.1,39.388,49.19674,,,benthosema,SL = -0.3755+18.935* OL
372,10,1996,6/11/96,San Pedro,26,0.375,H,I,Pterygioteuthis,,Otolith.length1,0.4,,,19.464,,,
367,5,1996,6/11/96,San Pedro,35.8,1.075,H,II,Pterygioteuthis,,Otolith.length1,0.5,,,22.78,,,
368,6,1996,6/11/96,San Pedro,40.7,1.2,H,II,Pterygioteuthis,,Otolith.length1,0.4,,,19.464,,,
371,9,1996,6/11/96,San Pedro,44.7,2.2,M,V,Pterygioteuthis,,Otolith.length1,0.6,,,26.096,,,
367,5,1996,6/11/96,San Pedro,35.8,1.075,H,II,Pterygioteuthis,,Otolith.length2,0.4,,,19.464,,,
367,5,1996,6/11/96,San Pedro,35.8,1.075,H,II,Pterygioteuthis,,Otolith.length3,0.3,,,16.148,,,
372,10,1996,6/11/96,San Pedro,26,0.375,H,I,Triphoturus,,Otolith.length1,0.6,31.1577,38.69748,,,,
507,20,1996,6/16/96,San Pedro,24.2,0.3,H,II,Benthosema,,Otolith.length1,1.8,33.7075,41.69332,,,benthosema,TL = -3.3272 + 25.0114 OL
508,21,1996,6/16/96,San Pedro,29.4,0.55,H,II,Benthosema,,Otolith.length1,1.2,22.3465,26.68648,,,triphoturus,SL = 14.0445 + 28.5722 OL r2 = 0.60 n = 101 
507,20,1996,6/16/96,San Pedro,24.2,0.3,H,II,Benthosema,,Otolith.length2,1.8,33.7075,41.69332,,,,
507,20,1996,6/16/96,San Pedro,24.2,0.3,H,II,Benthosema,,Otolith.length3,1.9,35.601,44.19446,,,,
507,20,1996,6/16/96,San Pedro,24.2,0.3,H,II,Benthosema,,Otolith.length4,2.1,39.388,49.19674,,,,
406,18,1996,6/16/96,San Pedro,27.2,0.425,H,II,Triphoturus,,Otolith.length1,0.9,39.7143,50.53002,,,,
421,33,1996,6/18/96,San Pedro,42.1,1.975,H,II,Pterygioteuthis,,Otolith.length1,0.5,,,22.78,,,
439,16,1996,7/9/96,Santa Rosalia,41.7,1.7,M,III,Pterygioteuthis,,Otolith.length1,0.4,,,19.464,,,
439,16,1996,7/9/96,Santa Rosalia,41.7,1.7,M,III,Pterygioteuthis,,Otolith.length2,0.5,,,22.78,,,
450,27,1996,7/10/96,Santa Rosalia,38.2,1.125,M,II,Pterygioteuthis,,Otolith.length1,0.4,,,19.464,,,
482,24,1996,8/10/96,Santa Rosalia,44,2.125,M,II,Pterygioteuthis,,Otolith.length1,0.5,,,22.78,,,
467,9,1996,8/10/96,Santa Rosalia,47.6,3.125,H,II,Pterygioteuthis,,Otolith.length1,0.5,,,22.78,,,
473,15,1996,8/10/96,Santa Rosalia,48.9,3.475,H,II,Pterygioteuthis,,Otolith.length1,0.4,,,19.464,,,
470,12,1996,8/10/96,Santa Rosalia,60.6,5.975,H,II,Pterygioteuthis,,Otolith.length1,0.4,,,19.464,,,
484,26,1996,8/10/96,Santa Rosalia,67.3,9.775,M,V,Pterygioteuthis,,Otolith.length1,0.3,,,16.148,,,
466,8,1996,8/10/96,Santa Rosalia,68,10.125,H,III,Pterygioteuthis,,Otolith.length1,0.4,,,19.464,,,
483,25,1996,8/10/96,Santa Rosalia,70,10.975,H,III,Pterygioteuthis,,Otolith.length1,0.4,,,19.464,,,
470,12,1996,8/10/96,Santa Rosalia,60.6,5.975,H,II,Pterygioteuthis,,Otolith.length2,0.4,,,19.464,,,
470,12,1996,8/10/96,Santa Rosalia,60.6,5.975,H,II,Pterygioteuthis,,Otolith.length3,0.6,,,26.096,,,
492,33,1996,8/11/96,Santa Rosalia,67.3,8.475,M,V,Pterygioteuthis,,Otolith.length1,0.5,,,22.78,,,
489,30,1996,8/11/96,Santa Rosalia,70.1,9.525,M,V,Pterygioteuthis,,Otolith.length1,0.5,,,22.78,,,
718,1,1996,9/6/96,Santa Rosalia,69.7,11.375,H,IV,Benthosema,,Otolith.length1,1.1,20.453,24.18534,,,triphoturus,TL = 15.0324 + 39.4418 OL r2 = 0.71
721,4,1996,9/6/96,Santa Rosalia,67.4,11.5,H,III,Benthosema,,Otolith.length1,2.2,41.2815,51.69788,,,,
722,5,1996,9/6/96,Santa Rosalia,69.1,9.025,M,V,Benthosema,,Otolith.length1,1.5,28.027,34.1899,,,#NAME?,
724,7,1996,9/6/96,Santa Rosalia,69.8,13.55,H,III,Benthosema,,Otolith.length1,2.4,45.0685,56.70016,,,#NAME?,
725,8,1996,9/6/96,Santa Rosalia,59,5.975,H,II,Benthosema,,Otolith.length1,2.4,45.0685,56.70016,,,,
726,9,1996,9/6/96,Santa Rosalia,49.5,3.85,H,II,Benthosema,,Otolith.length1,2.1,39.388,49.19674,,,,
727,10,1996,9/6/96,Santa Rosalia,67.2,9.3,M,V,Benthosema,,Otolith.length1,1.8,33.7075,41.69332,,,,
729,12,1996,9/6/96,Santa Rosalia,68,10.1,H,III,Benthosema,,Otolith.length1,2,37.4945,46.6956,,,,
732,15,1996,9/6/96,Santa Rosalia,59.5,5.675,M,V,Benthosema,,Otolith.length1,1.1,20.453,24.18534,,,,
734,17,1996,9/6/96,Santa Rosalia,72.5,13.625,H,IV,Benthosema,,Otolith.length1,2.1,39.388,49.19674,,,,
737,20,1996,9/6/96,Santa Rosalia,73.6,12.95,H,V,Benthosema,,Otolith.length1,2.2,41.2815,51.69788,,,,
738,21,1996,9/6/96,Santa Rosalia,49.5,3.225,M,V,Benthosema,,Otolith.length1,2.1,39.388,49.19674,,,,
739,22,1996,9/6/96,Santa Rosalia,50.2,3.675,M,III,Benthosema,,Otolith.length1,1.5,28.027,34.1899,,,,
762,,1996,9/6/96,Santa Rosalia,62.1,NA,H,II,Benthosema,,Otolith.length1,2,37.4945,46.6956,,,,
718,1,1996,9/6/96,Santa Rosalia,69.7,11.375,H,IV,Benthosema,,Otolith.length2,1.2,22.3465,26.68648,,,,
722,5,1996,9/6/96,Santa Rosalia,69.1,9.025,M,V,Benthosema,,Otolith.length2,1.9,35.601,44.19446,,,,
725,8,1996,9/6/96,Santa Rosalia,59,5.975,H,II,Benthosema,,Otolith.length2,1.9,35.601,44.19446,,,,
726,9,1996,9/6/96,Santa Rosalia,49.5,3.85,H,II,Benthosema,,Otolith.length2,2.1,39.388,49.19674,,,,
727,10,1996,9/6/96,Santa Rosalia,67.2,9.3,M,V,Benthosema,,Otolith.length2,1.8,33.7075,41.69332,,,,
729,12,1996,9/6/96,Santa Rosalia,68,10.1,H,III,Benthosema,,Otolith.length2,2.1,39.388,49.19674,,,,
732,15,1996,9/6/96,Santa Rosalia,59.5,5.675,M,V,Benthosema,,Otolith.length2,1.2,22.3465,26.68648,,,,
737,20,1996,9/6/96,Santa Rosalia,73.6,12.95,H,V,Benthosema,,Otolith.length2,2.2,41.2815,51.69788,,,,
738,21,1996,9/6/96,Santa Rosalia,49.5,3.225,M,V,Benthosema,,Otolith.length2,1.8,33.7075,41.69332,,,,
762,,1996,9/6/96,Santa Rosalia,62.1,NA,H,II,Benthosema,,Otolith.length2,2.2,41.2815,51.69788,,,,
722,5,1996,9/6/96,Santa Rosalia,69.1,9.025,M,V,Benthosema,,Otolith.length3,2.1,39.388,49.19674,,,,
725,8,1996,9/6/96,Santa Rosalia,59,5.975,H,II,Benthosema,,Otolith.length3,2.1,39.388,49.19674,,,,
726,9,1996,9/6/96,Santa Rosalia,49.5,3.85,H,II,Benthosema,,Otolith.length3,2.1,39.388,49.19674,,,,
727,10,1996,9/6/96,Santa Rosalia,67.2,9.3,M,V,Benthosema,,Otolith.length3,1.9,35.601,44.19446,,,,
729,12,1996,9/6/96,Santa Rosalia,68,10.1,H,III,Benthosema,,Otolith.length3,2.2,41.2815,51.69788,,,,
732,15,1996,9/6/96,Santa Rosalia,59.5,5.675,M,V,Benthosema,,Otolith.length3,1.5,28.027,34.1899,,,,
737,20,1996,9/6/96,Santa Rosalia,73.6,12.95,H,V,Benthosema,,Otolith.length3,2.1,39.388,49.19674,,,,
738,21,1996,9/6/96,Santa Rosalia,49.5,3.225,M,V,Benthosema,,Otolith.length3,1.4,26.1335,31.68876,,,,
762,,1996,9/6/96,Santa Rosalia,62.1,NA,H,II,Benthosema,,Otolith.length3,1.8,33.7075,41.69332,,,,
725,8,1996,9/6/96,Santa Rosalia,59,5.975,H,II,Benthosema,,Otolith.length4,2.1,39.388,49.19674,,,,
726,9,1996,9/6/96,Santa Rosalia,49.5,3.85,H,II,Benthosema,,Otolith.length4,2.3,43.175,54.19902,,,,
727,10,1996,9/6/96,Santa Rosalia,67.2,9.3,M,V,Benthosema,,Otolith.length4,1.9,35.601,44.19446,,,,
729,12,1996,9/6/96,Santa Rosalia,68,10.1,H,III,Benthosema,,Otolith.length4,2.2,41.2815,51.69788,,,,
732,15,1996,9/6/96,Santa Rosalia,59.5,5.675,M,V,Benthosema,,Otolith.length4,1.2,22.3465,26.68648,,,,
737,20,1996,9/6/96,Santa Rosalia,73.6,12.95,H,V,Benthosema,,Otolith.length4,2.2,41.2815,51.69788,,,,
738,21,1996,9/6/96,Santa Rosalia,49.5,3.225,M,V,Benthosema,,Otolith.length4,1.2,22.3465,26.68648,,,,
762,,1996,9/6/96,Santa Rosalia,62.1,NA,H,II,Benthosema,,Otolith.length4,2.2,41.2815,51.69788,,,,
725,8,1996,9/6/96,Santa Rosalia,59,5.975,H,II,Benthosema,,Otolith.length5,2.1,39.388,49.19674,,,,
726,9,1996,9/6/96,Santa Rosalia,49.5,3.85,H,II,Benthosema,,Otolith.length5,1.9,35.601,44.19446,,,,
727,10,1996,9/6/96,Santa Rosalia,67.2,9.3,M,V,Benthosema,,Otolith.length5,1.4,26.1335,31.68876,,,,
729,12,1996,9/6/96,Santa Rosalia,68,10.1,H,III,Benthosema,,Otolith.length5,2,37.4945,46.6956,,,,
732,15,1996,9/6/96,Santa Rosalia,59.5,5.675,M,V,Benthosema,,Otolith.length5,2.3,43.175,54.19902,,,,
737,20,1996,9/6/96,Santa Rosalia,73.6,12.95,H,V,Benthosema,,Otolith.length5,2.1,39.388,49.19674,,,,
738,21,1996,9/6/96,Santa Rosalia,49.5,3.225,M,V,Benthosema,,Otolith.length5,1.2,22.3465,26.68648,,,,
762,,1996,9/6/96,Santa Rosalia,62.1,NA,H,II,Benthosema,,Otolith.length5,1.9,35.601,44.19446,,,,
725,8,1996,9/6/96,Santa Rosalia,59,5.975,H,II,Benthosema,,Otolith.length6,2.1,39.388,49.19674,,,,
726,9,1996,9/6/96,Santa Rosalia,49.5,3.85,H,II,Benthosema,,Otolith.length6,2.1,39.388,49.19674,,,,
727,10,1996,9/6/96,Santa Rosalia,67.2,9.3,M,V,Benthosema,,Otolith.length6,1.1,20.453,24.18534,,,,
729,12,1996,9/6/96,Santa Rosalia,68,10.1,H,III,Benthosema,,Otolith.length6,2.2,41.2815,51.69788,,,,
737,20,1996,9/6/96,Santa Rosalia,73.6,12.95,H,V,Benthosema,,Otolith.length6,1.9,35.601,44.19446,,,,
762,,1996,9/6/96,Santa Rosalia,62.1,NA,H,II,Benthosema,,Otolith.length6,1.2,22.3465,26.68648,,,,
725,8,1996,9/6/96,Santa Rosalia,59,5.975,H,II,Benthosema,,Otolith.length7,2.1,39.388,49.19674,,,,
726,9,1996,9/6/96,Santa Rosalia,49.5,3.85,H,II,Benthosema,,Otolith.length7,2.2,41.2815,51.69788,,,,
727,10,1996,9/6/96,Santa Rosalia,67.2,9.3,M,V,Benthosema,,Otolith.length7,1.1,20.453,24.18534,,,,
729,12,1996,9/6/96,Santa Rosalia,68,10.1,H,III,Benthosema,,Otolith.length7,2.3,43.175,54.19902,,,,
737,20,1996,9/6/96,Santa Rosalia,73.6,12.95,H,V,Benthosema,,Otolith.length7,2.2,41.2815,51.69788,,,,
762,,1996,9/6/96,Santa Rosalia,62.1,NA,H,II,Benthosema,,Otolith.length7,1.3,24.24,29.18762,,,,
725,8,1996,9/6/96,Santa Rosalia,59,5.975,H,II,Benthosema,,Otolith.length8,2.1,39.388,49.19674,,,,
729,12,1996,9/6/96,Santa Rosalia,68,10.1,H,III,Benthosema,,Otolith.length8,2.4,45.0685,56.70016,,,,
737,20,1996,9/6/96,Santa Rosalia,73.6,12.95,H,V,Benthosema,,Otolith.length8,2,37.4945,46.6956,,,,
762,,1996,9/6/96,Santa Rosalia,62.1,NA,H,II,Benthosema,,Otolith.length8,1.3,24.24,29.18762,,,,
737,20,1996,9/6/96,Santa Rosalia,73.6,12.95,H,V,Benthosema,,Otolith.length9,2,37.4945,46.6956,,,,
762,,1996,9/6/96,Santa Rosalia,62.1,NA,H,II,Benthosema,,Otolith.length9,1,18.5595,21.6842,,,,
515,21,1996,9/6/96,Santa Rosalia,49.5,3.225,M,V,Pterygioteuthis,,Otolith.length1,0.4,,,19.464,,,
500,6,1996,9/6/96,Santa Rosalia,52.3,4.725,H,II,Pterygioteuthis,,Otolith.length1,0.4,,,19.464,,,
502,8,1996,9/6/96,Santa Rosalia,59,5.975,H,II,Pterygioteuthis,,Otolith.length1,0.3,,,16.148,,,
509,15,1996,9/6/96,Santa Rosalia,59.5,5.675,M,V,Pterygioteuthis,,Otolith.length1,0.3,,,16.148,,,
,,1996,9/6/96,Santa Rosalia,62.1,NA,H,II,Pterygioteuthis,,Otolith.length1,0.4,,,19.464,,,
508,14,1996,9/6/96,Santa Rosalia,65,8.025,M,V,Pterygioteuthis,,Otolith.length1,0.5,,,22.78,,,
504,10,1996,9/6/96,Santa Rosalia,67.2,9.3,M,V,Pterygioteuthis,,Otolith.length1,0.4,,,19.464,,,
514,20,1996,9/6/96,Santa Rosalia,73.6,12.95,H,V,Pterygioteuthis,,Otolith.length1,0.5,,,22.78,,,
500,6,1996,9/6/96,Santa Rosalia,52.3,4.725,H,II,Pterygioteuthis,,Otolith.length2,0.5,,,22.78,,,
509,15,1996,9/6/96,Santa Rosalia,59.5,5.675,M,V,Pterygioteuthis,,Otolith.length2,0.4,,,19.464,,,
,,1996,9/6/96,Santa Rosalia,62.1,NA,H,II,Pterygioteuthis,,Otolith.length2,0.55,,,24.438,,,
508,14,1996,9/6/96,Santa Rosalia,65,8.025,M,V,Pterygioteuthis,,Otolith.length2,0.5,,,22.78,,,
514,20,1996,9/6/96,Santa Rosalia,73.6,12.95,H,V,Pterygioteuthis,,Otolith.length2,0.5,,,22.78,,,
500,6,1996,9/6/96,Santa Rosalia,52.3,4.725,H,II,Pterygioteuthis,,Otolith.length3,0.5,,,22.78,,,
509,15,1996,9/6/96,Santa Rosalia,59.5,5.675,M,V,Pterygioteuthis,,Otolith.length3,0.4,,,19.464,,,
,,1996,9/6/96,Santa Rosalia,62.1,NA,H,II,Pterygioteuthis,,Otolith.length3,0.4,,,19.464,,,
514,20,1996,9/6/96,Santa Rosalia,73.6,12.95,H,V,Pterygioteuthis,,Otolith.length3,0.4,,,19.464,,,
500,6,1996,9/6/96,Santa Rosalia,52.3,4.725,H,II,Pterygioteuthis,,Otolith.length4,0.5,,,22.78,,,
509,15,1996,9/6/96,Santa Rosalia,59.5,5.675,M,V,Pterygioteuthis,,Otolith.length4,0.4,,,19.464,,,
,,1996,9/6/96,Santa Rosalia,62.1,NA,H,II,Pterygioteuthis,,Otolith.length4,0.4,,,19.464,,,
514,20,1996,9/6/96,Santa Rosalia,73.6,12.95,H,V,Pterygioteuthis,,Otolith.length4,0.5,,,22.78,,,
,,1996,9/6/96,Santa Rosalia,62.1,NA,H,II,Pterygioteuthis,,Otolith.length5,0.5,,,22.78,,,
514,20,1996,9/6/96,Santa Rosalia,73.6,12.95,H,V,Pterygioteuthis,,Otolith.length5,0.3,,,16.148,,,
